/home/lang/SteerNet-v2/.venv/bin/python /home/lang/SteerNet-v2/highway_dqn_grayscale_per_ddqn_NoisyNet_fixed.py
num_actions: 5
observation_space: (4, 240, 64)
Using device: cuda
conv_output_size: 8320
conv_output_size: 8320
Starting training for 5000 episodes...
Using: Double DQN + PER + NoisyNet (no epsilon!)
Observation shape: (4, 240, 64)
Batch size: 256
Ep 670/5000 | Reward: 185.4 | Crash: 40% | Speed: 23.9 | Len: 99 | Loss: 0.1151 | Buffer: 35037 | 6.05s/ep | 34.8m
Ep 680/5000 | Reward: 131.3 | Crash: 40% | Speed: 22.9 | Len: 79 | Loss: 0.1269 | Buffer: 35826 | 4.78s/ep | 35.6m
Ep 690/5000 | Reward: 80.4 | Crash: 40% | Speed: 21.9 | Len: 57 | Loss: 0.1727 | Buffer: 36398 | 3.48s/ep | 36.1m
Ep 700/5000 | Reward: 138.2 | Crash: 41% | Speed: 24.5 | Len: 72 | Loss: 0.1441 | Buffer: 37123 | 4.40s/ep | 36.9m
Ep 710/5000 | Reward: 107.3 | Crash: 43% | Speed: 24.3 | Len: 58 | Loss: 0.1572 | Buffer: 37701 | 3.52s/ep | 37.5m
Ep 720/5000 | Reward: 150.9 | Crash: 40% | Speed: 22.6 | Len: 92 | Loss: 0.1526 | Buffer: 38619 | 5.58s/ep | 38.4m
Ep 730/5000 | Reward: 151.5 | Crash: 35% | Speed: 23.8 | Len: 82 | Loss: 0.1503 | Buffer: 39441 | 4.99s/ep | 39.2m
Ep 740/5000 | Reward: 108.8 | Crash: 34% | Speed: 23.7 | Len: 63 | Loss: 0.1664 | Buffer: 40072 | 3.84s/ep | 39.9m
Ep 750/5000 | Reward: 171.4 | Crash: 31% | Speed: 23.8 | Len: 93 | Loss: 0.1708 | Buffer: 41004 | 5.68s/ep | 40.8m
Ep 760/5000 | Reward: 101.9 | Crash: 33% | Speed: 21.5 | Len: 73 | Loss: 0.1550 | Buffer: 41736 | 4.47s/ep | 41.5m
Ep 770/5000 | Reward: 146.1 | Crash: 37% | Speed: 24.6 | Len: 75 | Loss: 0.1406 | Buffer: 42486 | 4.60s/ep | 42.3m
Ep 780/5000 | Reward: 168.1 | Crash: 35% | Speed: 24.2 | Len: 90 | Loss: 0.1613 | Buffer: 43383 | 5.50s/ep | 43.2m
Ep 790/5000 | Reward: 159.2 | Crash: 32% | Speed: 24.8 | Len: 82 | Loss: 0.2341 | Buffer: 44203 | 5.01s/ep | 44.1m
Ep 800/5000 | Reward: 179.6 | Crash: 28% | Speed: 25.0 | Len: 94 | Loss: 0.1887 | Buffer: 45140 | 5.77s/ep | 45.0m
Ep 810/5000 | Reward: 83.2 | Crash: 29% | Speed: 23.6 | Len: 49 | Loss: 0.2105 | Buffer: 45632 | 3.02s/ep | 45.5m
Ep 820/5000 | Reward: 127.7 | Crash: 32% | Speed: 23.9 | Len: 72 | Loss: 0.2363 | Buffer: 46356 | 4.46s/ep | 46.3m
Ep 830/5000 | Reward: 130.1 | Crash: 33% | Speed: 22.9 | Len: 76 | Loss: 0.2213 | Buffer: 47121 | 4.71s/ep | 47.1m
Ep 840/5000 | Reward: 173.1 | Crash: 29% | Speed: 24.2 | Len: 92 | Loss: 0.2257 | Buffer: 48040 | 5.66s/ep | 48.0m
Ep 850/5000 | Reward: 136.5 | Crash: 31% | Speed: 23.0 | Len: 78 | Loss: 0.2217 | Buffer: 48824 | 4.84s/ep | 48.8m
Ep 860/5000 | Reward: 161.2 | Crash: 29% | Speed: 23.3 | Len: 91 | Loss: 0.1132 | Buffer: 49735 | 5.64s/ep | 49.7m
Ep 870/5000 | Reward: 132.5 | Crash: 28% | Speed: 23.8 | Len: 72 | Loss: 0.2648 | Buffer: 50454 | 4.47s/ep | 50.5m
Ep 880/5000 | Reward: 149.9 | Crash: 30% | Speed: 24.3 | Len: 79 | Loss: 0.1918 | Buffer: 51243 | 4.91s/ep | 51.3m
Ep 890/5000 | Reward: 161.8 | Crash: 30% | Speed: 24.7 | Len: 84 | Loss: 0.2230 | Buffer: 52082 | 5.30s/ep | 52.2m
Ep 900/5000 | Reward: 149.2 | Crash: 32% | Speed: 24.8 | Len: 76 | Loss: 0.1974 | Buffer: 52839 | 4.84s/ep | 53.0m
Ep 910/5000 | Reward: 169.0 | Crash: 27% | Speed: 24.7 | Len: 88 | Loss: 0.2156 | Buffer: 53717 | 5.54s/ep | 53.9m
Ep 920/5000 | Reward: 137.3 | Crash: 26% | Speed: 23.1 | Len: 81 | Loss: 0.2133 | Buffer: 54523 | 5.03s/ep | 54.8m
Ep 930/5000 | Reward: 149.4 | Crash: 24% | Speed: 22.6 | Len: 92 | Loss: 0.2205 | Buffer: 55440 | 5.73s/ep | 55.7m
Ep 940/5000 | Reward: 177.3 | Crash: 24% | Speed: 24.9 | Len: 92 | Loss: 0.3299 | Buffer: 56355 | 5.72s/ep | 56.7m
Ep 950/5000 | Reward: 128.5 | Crash: 26% | Speed: 24.7 | Len: 66 | Loss: 0.2653 | Buffer: 57013 | 4.14s/ep | 57.4m
Ep 960/5000 | Reward: 140.2 | Crash: 27% | Speed: 22.7 | Len: 85 | Loss: 0.1992 | Buffer: 57862 | 5.32s/ep | 58.2m
Ep 970/5000 | Reward: 144.7 | Crash: 25% | Speed: 22.4 | Len: 89 | Loss: 0.2450 | Buffer: 58752 | 5.63s/ep | 59.2m
Ep 980/5000 | Reward: 163.0 | Crash: 23% | Speed: 24.9 | Len: 83 | Loss: 0.2682 | Buffer: 59582 | 5.20s/ep | 1.0h
Ep 990/5000 | Reward: 162.9 | Crash: 23% | Speed: 23.7 | Len: 92 | Loss: 0.3162 | Buffer: 60504 | 5.83s/ep | 1.0h
Ep 1000/5000 | Reward: 143.7 | Crash: 22% | Speed: 23.5 | Len: 82 | Loss: 0.2605 | Buffer: 61323 | 5.18s/ep | 1.0h
Ep 1010/5000 | Reward: 138.9 | Crash: 24% | Speed: 24.1 | Len: 75 | Loss: 0.3148 | Buffer: 62072 | 4.77s/ep | 1.0h
Ep 1020/5000 | Reward: 129.2 | Crash: 24% | Speed: 22.4 | Len: 81 | Loss: 0.2746 | Buffer: 62882 | 5.09s/ep | 1.1h
Ep 1030/5000 | Reward: 151.1 | Crash: 25% | Speed: 24.1 | Len: 83 | Loss: 0.2923 | Buffer: 63710 | 5.25s/ep | 1.1h
Ep 1040/5000 | Reward: 144.2 | Crash: 27% | Speed: 24.2 | Len: 75 | Loss: 0.3321 | Buffer: 64458 | 4.67s/ep | 1.1h
Ep 1050/5000 | Reward: 165.0 | Crash: 24% | Speed: 24.8 | Len: 86 | Loss: 0.2637 | Buffer: 65320 | 5.44s/ep | 1.1h
Ep 1060/5000 | Reward: 180.1 | Crash: 22% | Speed: 23.8 | Len: 100 | Loss: 0.2904 | Buffer: 66320 | 6.29s/ep | 1.1h
Ep 1070/5000 | Reward: 151.3 | Crash: 23% | Speed: 24.9 | Len: 78 | Loss: 0.2957 | Buffer: 67103 | 4.99s/ep | 1.1h
Ep 1080/5000 | Reward: 157.7 | Crash: 23% | Speed: 24.7 | Len: 82 | Loss: 0.2815 | Buffer: 67923 | 5.18s/ep | 1.1h
Ep 1090/5000 | Reward: 173.9 | Crash: 22% | Speed: 23.4 | Len: 99 | Loss: 0.2716 | Buffer: 68914 | 6.31s/ep | 1.2h
Ep 1100/5000 | Reward: 130.7 | Crash: 22% | Speed: 21.2 | Len: 90 | Loss: 0.1785 | Buffer: 69809 | 5.67s/ep | 1.2h
Ep 1110/5000 | Reward: 147.8 | Crash: 20% | Speed: 23.7 | Len: 83 | Loss: 0.2898 | Buffer: 70642 | 5.31s/ep | 1.2h
Ep 1120/5000 | Reward: 180.6 | Crash: 18% | Speed: 25.0 | Len: 92 | Loss: 0.2638 | Buffer: 71561 | 5.82s/ep | 1.2h
Ep 1130/5000 | Reward: 144.3 | Crash: 18% | Speed: 23.4 | Len: 82 | Loss: 0.2860 | Buffer: 72384 | 5.33s/ep | 1.2h
Ep 1140/5000 | Reward: 183.5 | Crash: 16% | Speed: 23.9 | Len: 99 | Loss: 0.3104 | Buffer: 73378 | 6.37s/ep | 1.2h
Ep 1150/5000 | Reward: 136.3 | Crash: 17% | Speed: 24.2 | Len: 73 | Loss: 0.3570 | Buffer: 74105 | 4.69s/ep | 1.3h
Ep 1160/5000 | Reward: 140.2 | Crash: 19% | Speed: 23.1 | Len: 83 | Loss: 0.2919 | Buffer: 74935 | 5.30s/ep | 1.3h
Ep 1170/5000 | Reward: 140.9 | Crash: 19% | Speed: 24.5 | Len: 73 | Loss: 0.2742 | Buffer: 75665 | 4.67s/ep | 1.3h
Ep 1180/5000 | Reward: 157.5 | Crash: 19% | Speed: 24.6 | Len: 82 | Loss: 0.3242 | Buffer: 76487 | 5.29s/ep | 1.3h
Ep 1190/5000 | Reward: 120.0 | Crash: 21% | Speed: 22.8 | Len: 75 | Loss: 0.2666 | Buffer: 77237 | 4.81s/ep | 1.3h
Ep 1200/5000 | Reward: 147.1 | Crash: 22% | Speed: 23.9 | Len: 82 | Loss: 0.3221 | Buffer: 78055 | 5.24s/ep | 1.3h
Ep 1210/5000 | Reward: 112.6 | Crash: 24% | Speed: 23.3 | Len: 66 | Loss: 0.2884 | Buffer: 78720 | 4.29s/ep | 1.3h
Ep 1220/5000 | Reward: 130.1 | Crash: 26% | Speed: 23.0 | Len: 79 | Loss: 0.3059 | Buffer: 79511 | 5.09s/ep | 1.4h
Ep 1230/5000 | Reward: 160.9 | Crash: 25% | Speed: 23.6 | Len: 91 | Loss: 0.3099 | Buffer: 80417 | 5.81s/ep | 1.4h
Ep 1240/5000 | Reward: 153.4 | Crash: 28% | Speed: 23.2 | Len: 89 | Loss: 0.3334 | Buffer: 81304 | 5.81s/ep | 1.4h
Ep 1250/5000 | Reward: 124.7 | Crash: 28% | Speed: 23.0 | Len: 72 | Loss: 0.3082 | Buffer: 82028 | 4.68s/ep | 1.4h
Ep 1260/5000 | Reward: 140.5 | Crash: 28% | Speed: 22.3 | Len: 88 | Loss: 0.3537 | Buffer: 82910 | 5.72s/ep | 1.4h
Ep 1270/5000 | Reward: 99.2 | Crash: 32% | Speed: 24.2 | Len: 53 | Loss: 0.2862 | Buffer: 83443 | 3.44s/ep | 1.4h
Ep 1280/5000 | Reward: 161.7 | Crash: 30% | Speed: 22.3 | Len: 100 | Loss: 0.4357 | Buffer: 84443 | 6.40s/ep | 1.4h
Ep 1290/5000 | Reward: 175.4 | Crash: 27% | Speed: 23.7 | Len: 100 | Loss: 0.3353 | Buffer: 85443 | 6.40s/ep | 1.5h
Ep 1300/5000 | Reward: 141.0 | Crash: 28% | Speed: 24.4 | Len: 74 | Loss: 0.3803 | Buffer: 86184 | 4.78s/ep | 1.5h
Ep 1310/5000 | Reward: 179.2 | Crash: 24% | Speed: 23.8 | Len: 100 | Loss: 0.3489 | Buffer: 87184 | 6.48s/ep | 1.5h
Ep 1320/5000 | Reward: 175.9 | Crash: 23% | Speed: 24.6 | Len: 92 | Loss: 0.4546 | Buffer: 88100 | 5.92s/ep | 1.5h
Ep 1330/5000 | Reward: 159.5 | Crash: 24% | Speed: 24.6 | Len: 84 | Loss: 0.3447 | Buffer: 88935 | 5.39s/ep | 1.5h
Ep 1340/5000 | Reward: 111.2 | Crash: 24% | Speed: 23.8 | Len: 62 | Loss: 0.3312 | Buffer: 89560 | 4.06s/ep | 1.5h
Ep 1350/5000 | Reward: 166.2 | Crash: 22% | Speed: 24.0 | Len: 90 | Loss: 0.3844 | Buffer: 90464 | 5.89s/ep | 1.5h
Ep 1360/5000 | Reward: 102.7 | Crash: 25% | Speed: 24.0 | Len: 55 | Loss: 0.3187 | Buffer: 91015 | 3.58s/ep | 1.6h
Ep 1370/5000 | Reward: 175.6 | Crash: 19% | Speed: 24.9 | Len: 91 | Loss: 0.3596 | Buffer: 91928 | 5.96s/ep | 1.6h
Ep 1380/5000 | Reward: 172.1 | Crash: 20% | Speed: 24.5 | Len: 92 | Loss: 0.4504 | Buffer: 92843 | 6.01s/ep | 1.6h
Ep 1390/5000 | Reward: 158.1 | Crash: 21% | Speed: 23.6 | Len: 92 | Loss: 0.4496 | Buffer: 93760 | 5.99s/ep | 1.6h
Ep 1400/5000 | Reward: 162.0 | Crash: 19% | Speed: 24.9 | Len: 84 | Loss: 0.4259 | Buffer: 94596 | 5.46s/ep | 1.6h
Ep 1410/5000 | Reward: 145.4 | Crash: 21% | Speed: 23.6 | Len: 81 | Loss: 0.3980 | Buffer: 95408 | 5.29s/ep | 1.6h
Ep 1420/5000 | Reward: 161.9 | Crash: 21% | Speed: 24.9 | Len: 84 | Loss: 0.4991 | Buffer: 96252 | 5.57s/ep | 1.7h
Ep 1430/5000 | Reward: 172.6 | Crash: 20% | Speed: 24.4 | Len: 90 | Loss: 0.4879 | Buffer: 97155 | 6.10s/ep | 1.7h
Ep 1440/5000 | Reward: 127.7 | Crash: 20% | Speed: 23.8 | Len: 73 | Loss: 0.4392 | Buffer: 97882 | 4.89s/ep | 1.7h
Ep 1450/5000 | Reward: 168.7 | Crash: 21% | Speed: 23.8 | Len: 93 | Loss: 0.4461 | Buffer: 98815 | 6.30s/ep | 1.7h
Ep 1460/5000 | Reward: 163.9 | Crash: 17% | Speed: 23.4 | Len: 90 | Loss: 0.4415 | Buffer: 99718 | 6.10s/ep | 1.7h
Ep 1470/5000 | Reward: 126.0 | Crash: 20% | Speed: 24.6 | Len: 66 | Loss: 0.5036 | Buffer: 100000 | 4.41s/ep | 1.7h
Ep 1480/5000 | Reward: 128.7 | Crash: 23% | Speed: 24.0 | Len: 69 | Loss: 0.4259 | Buffer: 100000 | 4.67s/ep | 1.7h
Ep 1490/5000 | Reward: 156.0 | Crash: 24% | Speed: 24.8 | Len: 82 | Loss: 0.2137 | Buffer: 100000 | 5.53s/ep | 1.8h
Ep 1500/5000 | Reward: 158.6 | Crash: 24% | Speed: 24.4 | Len: 84 | Loss: 0.4218 | Buffer: 100000 | 5.72s/ep | 1.8h
Ep 1510/5000 | Reward: 169.0 | Crash: 23% | Speed: 23.4 | Len: 95 | Loss: 0.5356 | Buffer: 100000 | 6.47s/ep | 1.8h
Ep 1520/5000 | Reward: 191.9 | Crash: 22% | Speed: 25.0 | Len: 99 | Loss: 0.4985 | Buffer: 100000 | 6.66s/ep | 1.8h
Ep 1530/5000 | Reward: 126.5 | Crash: 25% | Speed: 24.6 | Len: 66 | Loss: 0.4779 | Buffer: 100000 | 4.45s/ep | 1.8h
Ep 1540/5000 | Reward: 141.9 | Crash: 23% | Speed: 22.5 | Len: 89 | Loss: 0.5045 | Buffer: 100000 | 6.00s/ep | 1.8h
Ep 1550/5000 | Reward: 165.2 | Crash: 23% | Speed: 24.8 | Len: 87 | Loss: 0.6157 | Buffer: 100000 | 5.84s/ep | 1.9h
Ep 1560/5000 | Reward: 155.5 | Crash: 24% | Speed: 24.7 | Len: 82 | Loss: 0.4871 | Buffer: 100000 | 5.49s/ep | 1.9h
Ep 1570/5000 | Reward: 166.9 | Crash: 22% | Speed: 24.4 | Len: 86 | Loss: 0.4605 | Buffer: 100000 | 5.79s/ep | 1.9h
Ep 1580/5000 | Reward: 178.4 | Crash: 18% | Speed: 23.5 | Len: 100 | Loss: 0.5115 | Buffer: 100000 | 6.71s/ep | 1.9h
Ep 1590/5000 | Reward: 157.4 | Crash: 18% | Speed: 24.8 | Len: 82 | Loss: 0.5475 | Buffer: 100000 | 5.49s/ep | 1.9h
Ep 1600/5000 | Reward: 142.0 | Crash: 20% | Speed: 24.7 | Len: 73 | Loss: 0.4944 | Buffer: 100000 | 4.95s/ep | 1.9h
Ep 1610/5000 | Reward: 168.2 | Crash: 21% | Speed: 24.9 | Len: 87 | Loss: 0.5909 | Buffer: 100000 | 5.86s/ep | 2.0h
Ep 1620/5000 | Reward: 156.2 | Crash: 21% | Speed: 23.6 | Len: 92 | Loss: 0.5537 | Buffer: 100000 | 6.11s/ep | 2.0h
