/home/lang/SteerNet-v2/.venv/bin/python /home/lang/SteerNet-v2/test.py
num_actions:  5
observation_space:  (4, 240, 64)
Using device: cuda
conv_output_size:  8320
conv_output_size:  8320
Starting training for 5000 episodes...
Observation shape: (4, 240, 64)
Episode 480/5000 | Avg Reward: 18.26 | Avg Length: 10 | Epsilon: 0.383 | Loss: 0.9933 | Buffer: 6189 | 0.54s/ep | Elapsed: 7.6m
Episode 490/5000 | Avg Reward: 20.37 | Avg Length: 10 | Epsilon: 0.375 | Loss: 0.8133 | Buffer: 6292 | 0.87s/ep | Elapsed: 7.7m
Episode 500/5000 | Avg Reward: 21.74 | Avg Length: 11 | Epsilon: 0.368 | Loss: 0.8351 | Buffer: 6400 | 0.92s/ep | Elapsed: 7.9m
Episode 510/5000 | Avg Reward: 26.92 | Avg Length: 15 | Epsilon: 0.360 | Loss: 0.6751 | Buffer: 6549 | 0.98s/ep | Elapsed: 8.0m
Episode 520/5000 | Avg Reward: 37.68 | Avg Length: 19 | Epsilon: 0.353 | Loss: 0.5802 | Buffer: 6738 | 1.60s/ep | Elapsed: 8.3m
Episode 530/5000 | Avg Reward: 18.48 | Avg Length: 10 | Epsilon: 0.346 | Loss: 0.5140 | Buffer: 6833 | 0.82s/ep | Elapsed: 8.4m
Episode 540/5000 | Avg Reward: 14.43 | Avg Length: 8 | Epsilon: 0.339 | Loss: 0.5567 | Buffer: 6913 | 0.39s/ep | Elapsed: 8.5m
Episode 550/5000 | Avg Reward: 16.65 | Avg Length: 8 | Epsilon: 0.333 | Loss: 0.5182 | Buffer: 6996 | 0.71s/ep | Elapsed: 8.6m
Episode 560/5000 | Avg Reward: 22.09 | Avg Length: 11 | Epsilon: 0.326 | Loss: 0.5333 | Buffer: 7106 | 0.94s/ep | Elapsed: 8.8m
Episode 570/5000 | Avg Reward: 23.08 | Avg Length: 12 | Epsilon: 0.319 | Loss: 0.5100 | Buffer: 7230 | 1.05s/ep | Elapsed: 8.9m
Episode 580/5000 | Avg Reward: 52.10 | Avg Length: 26 | Epsilon: 0.313 | Loss: 0.4342 | Buffer: 7489 | 1.92s/ep | Elapsed: 9.3m
Episode 590/5000 | Avg Reward: 23.46 | Avg Length: 12 | Epsilon: 0.307 | Loss: 0.4155 | Buffer: 7613 | 1.07s/ep | Elapsed: 9.4m
Episode 600/5000 | Avg Reward: 48.17 | Avg Length: 23 | Epsilon: 0.301 | Loss: 0.3846 | Buffer: 7845 | 1.67s/ep | Elapsed: 9.7m
Episode 610/5000 | Avg Reward: 24.61 | Avg Length: 13 | Epsilon: 0.295 | Loss: 0.3572 | Buffer: 7971 | 1.08s/ep | Elapsed: 9.9m
Episode 620/5000 | Avg Reward: 51.48 | Avg Length: 27 | Epsilon: 0.289 | Loss: 1.3559 | Buffer: 8239 | 1.97s/ep | Elapsed: 10.2m
Episode 630/5000 | Avg Reward: 38.66 | Avg Length: 19 | Epsilon: 0.283 | Loss: 1.1473 | Buffer: 8433 | 1.38s/ep | Elapsed: 10.5m
Episode 640/5000 | Avg Reward: 50.81 | Avg Length: 25 | Epsilon: 0.278 | Loss: 0.8923 | Buffer: 8681 | 2.10s/ep | Elapsed: 10.8m
Episode 650/5000 | Avg Reward: 19.35 | Avg Length: 10 | Epsilon: 0.272 | Loss: 0.8763 | Buffer: 8780 | 0.84s/ep | Elapsed: 11.0m
Episode 660/5000 | Avg Reward: 39.11 | Avg Length: 20 | Epsilon: 0.267 | Loss: 0.8090 | Buffer: 8985 | 1.44s/ep | Elapsed: 11.2m
Episode 670/5000 | Avg Reward: 28.11 | Avg Length: 14 | Epsilon: 0.261 | Loss: 0.7720 | Buffer: 9127 | 1.21s/ep | Elapsed: 11.4m
Episode 680/5000 | Avg Reward: 23.51 | Avg Length: 12 | Epsilon: 0.256 | Loss: 0.8117 | Buffer: 9242 | 0.77s/ep | Elapsed: 11.5m
Episode 690/5000 | Avg Reward: 32.31 | Avg Length: 16 | Epsilon: 0.251 | Loss: 0.7260 | Buffer: 9402 | 1.34s/ep | Elapsed: 11.7m
Episode 700/5000 | Avg Reward: 66.39 | Avg Length: 32 | Epsilon: 0.246 | Loss: 0.6343 | Buffer: 9727 | 2.47s/ep | Elapsed: 12.2m
Episode 710/5000 | Avg Reward: 25.63 | Avg Length: 13 | Epsilon: 0.241 | Loss: 0.6382 | Buffer: 9854 | 1.08s/ep | Elapsed: 12.3m
Episode 720/5000 | Avg Reward: 18.21 | Avg Length: 9 | Epsilon: 0.237 | Loss: 0.6067 | Buffer: 9945 | 0.48s/ep | Elapsed: 12.4m
Episode 730/5000 | Avg Reward: 27.14 | Avg Length: 13 | Epsilon: 0.232 | Loss: 2.1272 | Buffer: 10077 | 1.12s/ep | Elapsed: 12.6m
