num_actions: 5
observation_space: (4, 240, 64)
Using device: cuda
conv_output_size: 8320
conv_output_size: 8320
Starting training for 3000 episodes...
Observation shape: (4, 240, 64)
Starting at Level 0: {'vehicles_count': 5, 'vehicles_density': 0.5}
Epsilon: 1.0 -> 0.02 (decay: 0.99)
============================================================

Ep 650/3000 | Lv: 1 (0/200) | Reward: 158.3 | Crash: 0% | Speed: 0.0 | Len: 79 | Eps: 0.500 | Loss: 0.5484 | 4.13s/ep | 37.6m
Ep 660/3000 | Lv: 1 (10/200) | Reward: 17.3 | Crash: 90% | Speed: 27.1 | Len: 33 | Eps: 0.452 | Loss: 0.6547 | 2.14s/ep | 38.0m
Ep 670/3000 | Lv: 1 (20/200) | Reward: 14.5 | Crash: 90% | Speed: 26.8 | Len: 30 | Eps: 0.409 | Loss: 0.6435 | 1.69s/ep | 38.3m
Ep 680/3000 | Lv: 1 (30/200) | Reward: -3.2 | Crash: 93% | Speed: 26.7 | Len: 25 | Eps: 0.370 | Loss: 0.7093 | 1.61s/ep | 38.5m
Ep 690/3000 | Lv: 1 (40/200) | Reward: 30.3 | Crash: 92% | Speed: 26.6 | Len: 40 | Eps: 0.334 | Loss: 0.6785 | 2.40s/ep | 38.9m
Ep 700/3000 | Lv: 1 (50/200) | Reward: -1.1 | Crash: 94% | Speed: 26.7 | Len: 24 | Eps: 0.303 | Loss: 0.6735 | 1.31s/ep | 39.2m
Ep 710/3000 | Lv: 1 (60/200) | Reward: 104.6 | Crash: 87% | Speed: 26.7 | Len: 65 | Eps: 0.274 | Loss: 0.6112 | 4.04s/ep | 39.8m
Ep 720/3000 | Lv: 1 (70/200) | Reward: 44.5 | Crash: 86% | Speed: 26.9 | Len: 40 | Eps: 0.247 | Loss: 0.8500 | 2.38s/ep | 40.2m
Ep 730/3000 | Lv: 1 (80/200) | Reward: 22.8 | Crash: 86% | Speed: 26.9 | Len: 34 | Eps: 0.224 | Loss: 0.7339 | 1.99s/ep | 40.6m
Ep 740/3000 | Lv: 1 (90/200) | Reward: 59.1 | Crash: 84% | Speed: 27.0 | Len: 45 | Eps: 0.202 | Loss: 0.7707 | 2.76s/ep | 41.0m
Ep 750/3000 | Lv: 1 (100/200) | Reward: 66.0 | Crash: 83% | Speed: 27.0 | Len: 50 | Eps: 0.183 | Loss: 0.5755 | 3.10s/ep | 41.5m
Ep 760/3000 | Lv: 1 (110/200) | Reward: 105.9 | Crash: 79% | Speed: 27.1 | Len: 61 | Eps: 0.166 | Loss: 0.8306 | 3.82s/ep | 42.2m
Ep 770/3000 | Lv: 1 (120/200) | Reward: 87.4 | Crash: 76% | Speed: 27.2 | Len: 56 | Eps: 0.150 | Loss: 0.7752 | 3.53s/ep | 42.8m
Ep 780/3000 | Lv: 1 (130/200) | Reward: 51.1 | Crash: 73% | Speed: 27.3 | Len: 43 | Eps: 0.135 | Loss: 0.6464 | 2.65s/ep | 43.2m
Ep 790/3000 | Lv: 1 (140/200) | Reward: 66.1 | Crash: 71% | Speed: 27.4 | Len: 50 | Eps: 0.122 | Loss: 0.6962 | 3.13s/ep | 43.7m
